"年月","產業別","企業產業貸款總家數","企業產業貸款總金額[仟元]","企業產業貸款平均金額[仟元]"
201306,"11投資業",1706,538201311,315475.56
201306,"12金融保險業",580,250191412,431364.50
201306,"13其他",191,161480732,845448.86
201307,"01民生必需品製造業",6732,510332963,75807.04
201307,"02金屬製造業",8340,720146052,86348.45
201307,"03非金屬製造業",6699,1892133982,282450.21
201307,"04紙印刷業",2126,92979128,43734.30
201307,"05器械業",10104,640433605,63384.17
201307,"06批發業",37878,1041705890,27501.61
201307,"07零售業",7521,352162087,46823.84
201307,"08電子製造業",3624,1638785254,452203.44
201307,"09服務業",17208,3124559777,181576.00
201307,"10營建業",17558,2118968555,120683.94
201307,"11投資業",1713,531507641,310278.83
201307,"12金融保險業",593,250797484,422929.99
201307,"13其他",188,163415154,869229.54
201308,"01民生必需品製造業",6740,518819685,76976.21
201308,"02金屬製造業",8355,718894989,86043.69
201308,"03非金屬製造業",6697,1882342513,281072.50
201308,"04紙印刷業",2127,94737090,44540.24
201308,"05器械業",10121,648806565,64104.99
201308,"06批發業",37971,1063489198,28007.93
201308,"07零售業",7577,351004497,46325.00
201308,"08電子製造業",3612,1612829209,446519.71
201308,"09服務業",17295,3110060486,179824.25
201308,"10營建業",17690,2121043745,119900.72
201308,"11投資業",1713,525077415,306525.05
201308,"12金融保險業",588,245098819,416834.73
201308,"13其他",188,162621401,865007.45
201309,"01民生必需品製造業",6750,524752185,77741.06
201309,"02金屬製造業",8361,718291492,85909.76
201309,"03非金屬製造業",6727,1914532177,284604.16
201309,"04紙印刷業",2124,94746259,44607.47
201309,"05器械業",10153,654917045,64504.78
201309,"06批發業",38114,1068718714,28040.06
201309,"07零售業",7571,355924350,47011.54
201309,"08電子製造業",3609,1638408004,453978.39
201309,"09服務業",17415,3070648792,176322.07
201309,"10營建業",17811,2141849317,120254.30
201309,"11投資業",1708,537963439,314966.88
201309,"12金融保險業",606,246745653,407171.04
201309,"13其他",190,162730537,856476.51
201310,"01民生必需品製造業",6764,524422668,77531.44
201310,"02金屬製造業",8393,717497446,85487.60
201310,"03非金屬製造業",6736,1887895573,280269.53
201310,"04紙印刷業",2127,95840700,45059.10
201310,"05器械業",10208,667268431,65367.21
201310,"06批發業",38354,1079340704,28141.54
201310,"07零售業",7624,351738869,46135.74
201310,"08電子製造業",3622,1651809041,456048.88
201310,"09服務業",17499,3016201198,172364.20
201310,"10營建業",17908,2161268114,120687.30
201310,"11投資業",1714,537932020,313845.99
201310,"12金融保險業",603,246199929,408291.76
201310,"13其他",197,161750594,821069.01
201311,"01民生必需品製造業",6781,527853110,77842.96
201311,"02金屬製造業",8422,721535739,85672.73
201311,"03非金屬製造業",6763,1877844994,277664.50
201311,"04紙印刷業",2129,96588360,45367.95
201311,"05器械業",10221,669216582,65474.67
201311,"06批發業",38510,1085373498,28184.20
201311,"07零售業",7660,350316915,45733.28
201311,"08電子製造業",3620,1657317906,457822.63
